online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet
Yes,No,4.1/5,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,Buffet
Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Buffet
No,No,3.7/5,88,Banashankari,Quick Bites,"South Indian, North Indian",300,Buffet
No,No,3.8/5,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,Buffet
Yes,No,3.8/5,286,Basavanagudi,Casual Dining,North Indian,600,Buffet
No,No,3.6/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Buffet
Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes
Yes,No,4.0/5,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,Cafes
Yes,No,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes
Yes,No,4.1/5,402,Banashankari,Cafe,Cafe,500,Cafes
Yes,Yes,4.2/5,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,Cafes
Yes,Yes,4.2/5,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,Cafes
No,No,4.0/5,424,Banashankari,Cafe,"Cafe, Continental",450,Cafes
Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes
Yes,No,3.8/5,90,Banashankari,Cafe,Cafe,650,Cafes
Yes,No,3.9/5,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes
Yes,No,3.8/5,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes
No,No,3.9/5,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes
Yes,No,3.1/5,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes
Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes
Yes,No,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes
No,No,3.6/5,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes
Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes
No,No,3.7/5,31,Banashankari,Cafe,Cafe,300,Cafes
No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes
Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes
No,No,3.3/5,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes
No,No,3.3/5,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes
No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes
Yes,No,4.0/5,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes
Yes,No,2.8/5,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery
Yes,No,3.9/5,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery
Yes,No,3.9/5,172,Banashankari,Delivery,Pizza,750,Delivery
Yes,No,4.2/5,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery
Yes,No,3.9/5,230,Banashankari,Delivery,Biryani,650,Delivery
Yes,No,2.8/5,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery
Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery
Yes,No,4.4/5,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery
Yes,No,4.0/5,17,Banashankari,Quick Bites,South Indian,150,Delivery
Yes,No,3.8/5,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery
No,No,3.9/5,28,Banashankari,Mess,South Indian,300,Delivery
Yes,No,3.9/5,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery
Yes,No,3.9/5,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery
Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery
No,No,3.8/5,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery
Yes,No,3.6/5,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,4.0/5,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery
Yes,No,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery
Yes,No,3.1/5,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery
No,No,3.7/5,21,Banashankari,Quick Bites,North Indian,450,Delivery
Yes,No,4.1/5,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery
No,No,4.3/5,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery
Yes,No,4.0/5,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery
No,No,4.0/5,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery
Yes,No,3.9/5,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
Yes,No,3.8/5,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery
Yes,Yes,4.2/5,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery
No,No,3.6/5,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery
Yes,No,3.7/5,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery
