_id,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_2,type
65931bfed4b9eb96be5f59f2,Yes,No,3.5 /5,140,New BEL Road,Quick Bites,North Indian,300,Dine-out
65931bfed4b9eb96be5f1dc5,No,No,3.7 /5,4652,Koramangala 6th Block,"Lounge, Microbrewery","North Indian, Continental, Chinese","2,000",Drinks & nightlife
65931bfed4b9eb96be5ec4cd,No,No,,0,Richmond Road,Quick Bites,"Fast Food, Chinese",200,Dine-out
65931bfed4b9eb96be5f2ef9,Yes,No,3.6 /5,19,Koramangala 6th Block,Dessert Parlor,Desserts,300,Desserts
65931bfed4b9eb96be5f159f,Yes,Yes,4.2/5,1910,HSR,"Lounge, Casual Dining","Finger Food, Continental, North Indian","1,500",Delivery
65931bfed4b9eb96be5eeadf,Yes,No,3.9/5,75,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts",500,Delivery
65931bfed4b9eb96be5ec5f4,Yes,Yes,4.2/5,560,Whitefield,Casual Dining,"North Indian, Maharashtrian, South Indian","1,000",Buffet
65931bfed4b9eb96be5eb9ba,No,No,3.8/5,62,Banashankari,Quick Bites,"South Indian, Chinese",150,Dine-out
65931bfed4b9eb96be5ebb60,Yes,No,3.3/5,30,Bellandur,Quick Bites,"Beverages, Fast Food",250,Delivery
65931bfed4b9eb96be5ede34,No,No,3.6/5,25,Commercial Street,Quick Bites,"Beverages, Desserts",250,Dine-out
65931bfed4b9eb96be5ef29b,No,No,,0,Indiranagar,Casual Dining,"North Indian, South Indian, Andhra, Continental",600,Delivery
65931bfed4b9eb96be5eafb0,Yes,No,4.1/5,381,BTM,Quick Bites,Arabian,250,Delivery
65931bfed4b9eb96be5ebdec,Yes,No,,0,Bellandur,Quick Bites,"Fast Food, Juices",200,Dine-out
65931bfed4b9eb96be5eb9ad,No,No,3.6/5,15,Wilson Garden,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
65931bfed4b9eb96be5ec503,No,No,,0,Richmond Road,Quick Bites,South Indian,300,Dine-out
65931bfed4b9eb96be5eb158,Yes,No,3.3/5,6,Bannerghatta Road,Quick Bites,"Continental, Chinese, North Indian",500,Delivery
65931bfed4b9eb96be5ef9b4,Yes,Yes,4.4/5,385,Koramangala 5th Block,"Casual Dining, Bar","Mediterranean, Pizza, Italian, Beverages","1,500",Delivery
65931bfed4b9eb96be5edcf0,No,Yes,4.3/5,474,Residency Road,Lounge,Finger Food,"3,000",Dine-out
65931bfed4b9eb96be5f685d,No,No,3.9 /5,73,Lavelle Road,Lounge,Spanish,"2,500",Dine-out
65931bfed4b9eb96be5f675f,No,No,,0,Shivajinagar,Sweet Shop,Mithai,200,Desserts
65931bfed4b9eb96be5ef359,No,No,NEW,0,Ulsoor,"Pub, Casual Dining","Mexican, North Indian, Continental","1,500",Delivery
65931bfed4b9eb96be5f1aa6,Yes,Yes,4.3 /5,1805,Koramangala 5th Block,"Casual Dining, Cafe","Continental, Cafe, Italian, Fast Food, Steak",900,Dine-out
65931bfed4b9eb96be5efe5b,Yes,No,4.0 /5,126,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out
