online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Yes,Yes,4.1,775,Banashankari,Casual Dining,others,800,Buffet
Yes,No,4.1,787,Banashankari,Casual Dining,others,800,Buffet
Yes,No,3.8,918,Banashankari,others,others,800,Buffet
No,No,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300,Buffet
No,No,3.8,166,Basavanagudi,Casual Dining,others,600,Buffet
Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600,Buffet
No,No,3.6,8,others,Casual Dining,others,800,Buffet
Yes,Yes,4.6,2556,Banashankari,others,others,600,Cafes
Yes,No,4.0,324,Banashankari,Cafe,others,700,Cafes
Yes,No,4.2,504,Banashankari,Cafe,others,550,Cafes
Yes,No,4.1,402,Banashankari,Cafe,Cafe,500,Cafes
Yes,Yes,4.2,150,Banashankari,Cafe,others,600,Cafes
Yes,Yes,4.2,164,Banashankari,Cafe,others,500,Cafes
No,No,4.0,424,Banashankari,Cafe,others,450,Cafes
Yes,No,3.8,918,Banashankari,others,others,800,Cafes
Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,Cafes
Yes,No,3.9,133,Banashankari,Cafe,others,800,Cafes
Yes,No,3.8,144,Banashankari,Cafe,others,700,Cafes
No,No,3.9,93,Banashankari,Cafe,others,300,Cafes
Yes,No,3.1,13,Banashankari,Cafe,others,400,Cafes
Yes,No,3.0,62,Banashankari,Cafe,others,400,Cafes
Yes,No,3.7,180,Banashankari,Cafe,others,500,Cafes
No,No,3.6,28,Banashankari,Cafe,others,900,Cafes
Yes,No,3.6,62,Banashankari,others,others,600,Cafes
No,No,3.7,31,Banashankari,Cafe,Cafe,300,Cafes
No,No,3.2,11,Banashankari,Cafe,others,600,Cafes
Yes,No,3.8,75,Banashankari,others,others,200,Cafes
No,No,3.3,4,Banashankari,Cafe,others,500,Cafes
No,No,3.3,23,Banashankari,Cafe,others,550,Cafes
No,No,3.8,148,Basavanagudi,others,others,550,Cafes
Yes,No,4.0,219,Basavanagudi,Cafe,others,600,Cafes
Yes,No,2.8,506,Banashankari,Quick Bites,others,500,Delivery
Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery
